,1,2
0,"[116.3359375, '']",[114.60677083333353]
1,"[120.41927083333357, '']",[118.61718750000001]
2,"[144.20442708333334, '']",[142.5065104166666]
3,"[148.45572916666666, '']",[146.93098958333326]
4,"[122.9140625, '']",[121.2109375]
5,"[115.64843749999991, '']",[112.9895833333334]
6,"[103.46874999999979, '']",[101.45833333333319]
7,"[106.03645833333326, '']",[104.69140624999986]
8,"[114.77473958333306, '']",[113.41927083333321]
9,"[119.66536458333282, '']",[117.54947916666634]
10,"[148.958333333333, '']",[147.29036458333334]
11,"[160.1106770833334, '']",[158.22656250000006]
12,"[124.96354166666683, '']",[122.87890625000011]
13,"[109.96223958333329, '']",[108.19531249999983]
14,"[112.29427083333303, '']",[110.38151041666657]
15,"[105.67187499999974, '']",[103.36197916666656]
16,"[118.35677083333303, '']",[116.81119791666653]
17,"[122.35026041666639, '']",[120.7682291666664]
18,"[104.622395833333, '']",[103.21093749999982]
19,"[118.2460937500001, '']",[116.92838541666656]
20,"[139.00781250000006, '']",[137.28906249999997]
21,"[97.24869791666642, '']",[95.73177083333323]
22,"[103.14583333333314, '']",[101.04947916666653]
23,"[151.41927083333331, '']",[149.98177083333326]
24,"[120.57031249999976, '']",[119.37369791666627]
25,"[94.95572916666657, '']",[93.40234375]
26,"[137.80338541666686, '']",[135.72135416666646]
27,"[154.18489583333348, '']",[151.92968749999983]
28,"[118.4609374999998, '']",[115.97916666666711]
29,"[113.01041666666667, '']",[110.5859375]
30,"[159.39583333333337, '']",[157.63281250000003]
31,"[191.63411458333294, '']",[189.57421874999994]
32,"[191.2005208333335, '']",[188.9700520833333]
33,"[202.63932291666637, '']",[200.62760416666657]
34,"[200.37760416666708, '']",[197.72135416666677]
35,"[201.34765625000026, '']",[199.30859375]
36,"[204.37760416666669, '']",[202.17317708333314]
37,"[205.55989583333331, '']",[203.50390624999986]
38,"[188.92447916666652, '']",[186.39453124999977]
39,"[117.3906249999998, '']",[114.9466145833334]
40,"[119.40755208333326, '']",[118.13541666666663]
41,"[177.9296875, '']",[175.50000000000003]
42,"[214.5143229166668, '']",[212.29296875000017]
43,"[215.54427083333405, '']",[212.94531250000054]
44,"[200.50130208333368, '']",[198.20963541666677]
45,"[158.27734374999991, '']",[156.8750000000001]
46,"[149.39713541666666, '']",[147.43098958333346]
47,"[178.13151041666674, '']",[175.99218749999997]
48,"[208.82421874999997, '']",[206.25520833333317]
49,"[177.89583333333317, '']",[176.2343749999999]
50,"[131.90234374999983, '']",[129.8281249999998]
51,"[127.56119791666666, '']",[125.02734375]
52,"[152.38932291666663, '']",[149.94531249999997]
53,"[96.96354166666673, '']",[94.87890624999991]
54,"[89.74088541666653, '']",[88.17968750000003]
55,"[97.67838541666657, '']",[95.93229166666674]
56,"[109.60416666666688, '']",[106.94791666666674]
57,"[121.52734375000017, '']",[119.22265625]
58,"[156.74088541666674, '']",[155.07942708333303]
59,"[135.9296875, '']",[133.95703125000014]
60,"[103.24609374999994, '']",[101.01302083333334]
61,"[103.23828125000016, '']",[101.82812499999977]
62,"[89.4166666666665, '']",[87.0794270833333]
63,"[109.70182291666657, '']",[107.74218750000011]
64,"[134.05598958333346, '']",[132.60546875000006]
65,"[130.54427083333343, '']",[129.26041666666646]
66,"[133.7278645833333, '']",[131.79427083333323]
67,"[81.44661458333333, '']",[80.01041666666666]
68,"[139.79687499999986, '']",[137.39192708333317]
69,"[137.078125, '']",[135.1093750000001]
70,"[127.00390624999993, '']",[125.2447916666665]
