,1,2
128,"[156.36979166666686, '']",[154.36067708333323]
129,"[173.625, '']",[171.92447916666657]
130,"[157.82421874999991, '']",[156.3255208333336]
131,"[119.99739583333346, '']",[118.33723958333293]
132,"[111.34765624999991, '']",[108.64583333333329]
133,"[133.30078125, '']",[131.30208333333334]
134,"[160.54036458333331, '']",[158.61848958333348]
135,"[112.61067708333334, '']",[111.26692708333343]
136,"[79.12109375000007, '']",[78.01302083333346]
137,"[78.3710937500001, '']",[77.15364583333334]
138,"[83.55598958333324, '']",[81.94661458333331]
139,"[119.11588541666677, '']",[117.89062499999997]
140,"[170.51432291666657, '']",[168.81119791666657]
141,"[117.88802083333337, '']",[116.24088541666681]
142,"[126.06250000000014, '']",[123.84765625000018]
143,"[127.24479166666647, '']",[125.3697916666667]
144,"[129.35026041666617, '']",[127.36718749999967]
145,"[151.7799479166667, '']",[150.29687499999997]
146,"[155.74869791666663, '']",[153.8580729166667]
147,"[144.26562500000006, '']",[142.05989583333334]
148,"[103.14192708333329, '']",[101.4218749999998]
149,"[174.1289062500002, '']",[172.80859375000017]
150,"[158.3880208333335, '']",[157.46875]
151,"[137.2356770833335, '']",[135.90494791666677]
152,"[139.24869791666663, '']",[138.05989583333323]
153,"[141.51432291666669, '']",[139.1328125]
154,"[149.00130208333331, '']",[146.67317708333343]
155,"[90.42317708333327, '']",[88.41015625000006]
156,"[137.1953125, '']",[135.72005208333331]
157,"[153.6393229166666, '']",[151.96875000000006]
158,"[158.08072916666669, '']",[156.56119791666646]
159,"[171.39062499999986, '']",[169.282552083333]
160,"[102.15494791666657, '']",[100.19661458333306]
161,"[87.50520833333343, '']",[86.0924479166667]
162,"[97.76562499999999, '']",[95.12760416666671]
163,"[132.1080729166668, '']",[129.73828125000006]
164,"[117.13281249999989, '']",[115.67708333333327]
165,"[114.57161458333351, '']",[113.11197916666669]
166,"[118.71223958333343, '']",[116.2578125]
167,"[131.34635416666652, '']",[129.38932291666666]
168,"[116.29296875000004, '']",[113.93229166666686]
169,"[158.86328125000023, '']",[157.37630208333348]
170,"[85.50520833333331, '']",[84.01953124999999]
171,"[141.23828125, '']",[139.28776041666669]
172,"[128.4375000000003, '']",[126.41927083333331]
173,"[126.88281249999996, '']",[125.9661458333338]
174,"[124.30598958333321, '']",[122.52864583333333]
175,"[146.9153645833334, '']",[145.13541666666666]
176,"[145.08723958333357, '']",[143.8528645833332]
177,"[182.0950520833332, '']",[180.51041666666637]
178,"[98.49218749999994, '']",[96.59505208333329]
179,"[125.54817708333323, '']",[123.82291666666657]
180,"[120.32161458333337, '']",[118.85026041666677]
181,"[152.04687499999986, '']",[150.37239583333343]
182,"[180.0833333333329, '']",[178.3385416666668]
183,"[190.740885416667, '']",[189.2447916666671]
184,"[166.4791666666667, '']",[164.04557291666674]
185,"[177.80859374999966, '']",[175.97395833333331]
186,"[182.85937500000023, '']",[181.2773437500003]
187,"[136.70963541666663, '']",[135.62499999999997]
188,"[121.88541666666642, '']",[119.78515624999991]
