0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.54296875,2.104166667,1.083333333,2.041666667,1.872395833,1.6796875,2.553385417,1.65234375,1.690104167,1.643229167,1.72265625,1.635416667,1.506510417,1.19140625,1.26953125,1.856770833,1.569010417,1.622395833,2.415364583,1.89453125,2.204427083,1.415364583,2.302083333,2.029947917,2.153645833,1.467447917,1.669270833,1.891927083,1.580729167,1.5078125,1.384114583,2.200520833,2.64453125,1.509114583,1.67578125,1.608072917,1.848958333,1.528645833,1.622395833,2.045572917,1.516927083,2.595052083,1.3828125,1.584635417,1.48046875,1.345052083,1.65625,1.341145833,1.904947917,2.34375
2.354166667,1.76171875,1.897135417,1.548177083,2.0078125,2.032552083,1.743489583,1.561197917,2.235677083,2.403645833,2.447916667,2.615885417,1.8125,1.979166667,1.959635417,2.141927083,2.20703125,2.014322917,2.265625,1.51953125,2.21484375,2.075520833,2.6328125,1.559895833,1.66015625,1.739583333,1.885416667,1.694010417,2.2109375,2.1796875,1.95703125,1.118489583,2.37890625,1.662760417,1.678385417,1.4140625,1.56640625,2.149739583,1.470052083,1.609375,2.845052083,2.049479167,1.157552083,2.16796875,1.962239583,1.930989583,1.393229167,1.971354167,2.463541667,1.459635417
2.33984375,1.536458333,1.96484375,1.358072917,2.311197917,1.890625,2.200520833,1.826822917,2.540364583,1.873697917,1.678385417,2.05859375,1.600260417,1.4765625,1.848958333,1.7109375,2.17578125,2.06640625,2.893229167,1.419270833,1.850260417,2.096354167,2.2890625,1.67578125,1.819010417,1.588541667,1.33984375,1.53515625,1.984375,1.110677083,1.74609375,1.9375,1.951822917,1.481770833,1.981770833,1.822916667,1.889322917,1.591145833,1.27734375,2.076822917,1.66015625,1.067708333,1.467447917,2.0234375,1.723958333,1.908854167,2.204427083,2.182291667,1.533854167,1.83203125
1.766927083,1.884114583,1.627604167,1.75390625,2.43359375,1.947916667,2.1953125,2.407552083,1.807291667,1.247395833,1.662760417,1.80078125,2.28125,1.8125,2.115885417,1.411458333,2.584635417,1.8828125,1.49609375,2.157552083,2.4609375,2.427083333,1.98046875,1.338541667,2.111979167,1.145833333,1.559895833,1.5078125,1.09765625,1.580729167,1.828125,1.619791667,1.0546875,1.96484375,2.260416667,1.694010417,1.626302083,1.412760417,2.197916667,1.188802083,1.109375,0.860677083,2.065104167,2.032552083,2.049479167,1.932291667,2.157552083,1.545572917,1.994791667,1.635416667
0.9921875,1.381510417,1.860677083,2.126302083,2.244791667,1.49609375,2.098958333,1.3828125,1.079427083,1.380208333,1.55859375,1.60546875,1.239583333,1.454427083,1.635416667,2.114583333,1.334635417,1.774739583,2.130208333,1.94140625,2.15234375,1.860677083,1.576822917,1.966145833,2.084635417,1.506510417,2.192708333,1.369791667,1.786458333,1.78515625,1.5703125,1.450520833,1.858072917,1.694010417,2.203125,1.442708333,1.421875,1.9296875,2.260416667,1.532552083,1.4921875,1.365885417,1.884114583,1.986979167,1.658854167,1.721354167,2.66796875,1.979166667,1.901041667,0.848958333
1.774739583,1.8671875,1.0546875,1.377604167,1.34765625,1.88671875,1.490885417,1.916666667,0.899739583,1.973958333,2.41796875,1.526041667,1.122395833,1.643229167,1.701822917,1.057291667,2.079427083,1.75,2.256510417,1.44921875,1.578125,1.38671875,2.2578125,2.084635417,1.78125,1.100260417,1.4765625,1.8203125,2.2421875,1.6171875,2.326822917,2.126302083,1.841145833,2.38671875,2.16015625,2.194010417,2.897135417,1.661458333,1.966145833,1.493489583,1.733072917,2.15234375,1.376302083,1.837239583,1.963541667,2.071614583,1.516927083,1.372395833,2.109375,1.666666667
1.811197917,2.48828125,1.96484375,1.73046875,1.630208333,1.157552083,1.157552083,1.360677083,1.708333333,1.71484375,2.502604167,1.3515625,1.670572917,1.364583333,1.388020833,1.68359375,1.565104167,1.47265625,1.904947917,1.84765625,1.342447917,1.846354167,2.489583333,1.861979167,1.772135417,0.837239583,2.15625,2.13671875,2.079427083,1.858072917,2.485677083,2.0859375,2.4609375,2.016927083,2.225260417,1.990885417,2.528645833,1.90625,1.682291667,1.2734375,1.427083333,1.1640625,1.8515625,1.930989583,1.72265625,1.920572917,2.022135417,2.055989583,1.854166667,1.708333333
2.561197917,1.73046875,1.684895833,1.01171875,1.963541667,1.71875,2.05078125,2.27734375,2.114583333,2.154947917,3.015625,1.919270833,1.740885417,1.279947917,1.962239583,1.821614583,1.80859375,1.768229167,2.1640625,2.165364583,1.94140625,2.208333333,2.572916667,1.62109375,1.873697917,2.43359375,2.553385417,1.588541667,1.180989583,1.65625,1.809895833,2.78125,1.75390625,2.130208333,2.58984375,1.90625,1.881510417,1.677083333,2.279947917,2.21484375,2.161458333,2.098958333,1.669270833,1.493489583,1.703125,2.111979167,1.884114583,2.100260417,2.0703125,2.696614583
1.899739583,1.740885417,1.444010417,1.41015625,1.2109375,1.963541667,1.697916667,1.52734375,2.98828125,2.2421875,1.372395833,1.8671875,1.694010417,2.165364583,1.7890625,1.44140625,1.751302083,2.411458333,1.73828125,1.484375,1.856770833,1.997395833,1.934895833,2.091145833,2.873697917,2.170572917,1.690104167,1.2265625,1.341145833,2.626302083,2.85546875,1.516927083,1.709635417,2.23828125,2.444010417,2.147135417,1.442708333,2.359375,1.872395833,2.05078125,2.309895833,1.76171875,2.12890625,1.614583333,1.6875,1.83203125,1.91015625,2.328125,2.46875,2.220052083
2.315104167,1.57421875,1.0234375,1.63671875,1.877604167,1.985677083,1.6171875,2.305989583,2.647135417,2.05859375,2.596354167,2.055989583,2.235677083,2.235677083,2.25,2.709635417,2.541666667,1.821614583,2.076822917,1.313802083,2.147135417,2.451822917,1.364583333,1.63671875,1.700520833,0.98046875,1.76171875,1.826822917,2.458333333,2.2109375,1.96875,2.60546875,2.638020833,1.140625,1.670572917,1.903645833,2.05859375,1.815104167,1.981770833,1.85546875,1.75390625,1.98046875,1.26171875,1.8515625,1.791666667,1.69921875,2.026041667,2.434895833,2.177083333,2.10546875
