,1,2
0,"[107.92578125000009, '']",[105.7317708333335]
1,"[123.7942708333333, '']",[122.02213541666677]
2,"[101.0625, '']",[99.48307291666691]
3,"[100.91145833333306, '']",[99.4153645833334]
4,"[88.87109375000006, '']",[87.5755208333334]
5,"[108.70833333333317, '']",[106.83072916666676]
6,"[115.51302083333321, '']",[112.74218750000007]
7,"[86.68359374999993, '']",[84.88020833333341]
8,"[97.49348958333323, '']",[95.0559895833333]
9,"[79.18619791666663, '']",[77.75390625000001]
10,"[79.10416666666663, '']",[77.46744791666666]
11,"[83.15104166666654, '']",[82.0299479166666]
12,"[144.26432291666663, '']",[142.82031250000003]
13,"[143.2799479166669, '']",[141.71614583333303]
14,"[158.68489583333366, '']",[157.32552083333326]
15,"[148.00520833333312, '']",[146.5052083333336]
16,"[140.85937499999972, '']",[138.78385416666637]
17,"[100.15494791666688, '']",[98.68619791666657]
18,"[109.16796875000043, '']",[108.26171875]
19,"[108.60937500000045, '']",[107.80859375]
20,"[105.47656249999983, '']",[104.6627604166666]
21,"[139.62109375000006, '']",[137.6940104166666]
22,"[152.37369791666669, '']",[150.75]
23,"[145.71744791666669, '']",[143.85026041666663]
24,"[176.3763020833336, '']",[175.08723958333331]
25,"[157.73437500000028, '']",[156.4348958333336]
26,"[132.14453125000034, '']",[129.83984374999977]
27,"[125.59635416666666, '']",[123.54296874999969]
28,"[164.31640624999986, '']",[162.0260416666667]
29,"[125.40755208333285, '']",[123.9062499999999]
30,"[107.00651041666649, '']",[105.10807291666663]
31,"[144.8554687500001, '']",[142.8528645833332]
32,"[183.55338541666669, '']",[181.47395833333343]
33,"[192.76302083333331, '']",[190.4973958333333]
34,"[201.97395833333337, '']",[199.98437500000034]
35,"[202.4114583333331, '']",[200.6445312500002]
36,"[202.35546874999957, '']",[200.29036458333286]
37,"[204.01302083333337, '']",[201.83984375]
38,"[205.1666666666668, '']",[203.03645833333323]
39,"[205.12890624999983, '']",[203.69661458333331]
40,"[166.40364583333337, '']",[164.33984374999994]
41,"[114.9713541666668, '']",[113.21614583333337]
42,"[141.1953125000001, '']",[138.71614583333343]
43,"[203.38020833333343, '']",[201.67578125]
44,"[213.97005208333323, '']",[211.50130208333346]
45,"[214.2343750000004, '']",[213.06770833333363]
46,"[173.95442708333337, '']",[172.73177083333343]
47,"[170.2174479166668, '']",[168.3111979166668]
48,"[163.15755208333334, '']",[162.08723958333346]
49,"[198.5533854166663, '']",[196.35807291666669]
50,"[159.97916666666657, '']",[158.3359375]
51,"[111.9114583333333, '']",[110.24088541666659]
52,"[118.08463541666693, '']",[116.29687500000003]
53,"[154.35286458333343, '']",[152.28776041666666]
54,"[113.08463541666674, '']",[111.48046875000013]
55,"[86.52604166666669, '']",[84.56119791666666]
56,"[93.85286458333354, '']",[92.54947916666676]
57,"[107.47656250000016, '']",[105.47656249999994]
58,"[116.94921874999986, '']",[114.2044270833333]
59,"[157.57421875, '']",[156.04947916666674]
60,"[140.54947916666663, '']",[138.5351562500001]
61,"[103.66927083333339, '']",[101.50130208333334]
62,"[96.45442708333327, '']",[94.54427083333321]
63,"[90.38281249999991, '']",[88.13671875]
64,"[116.96875000000009, '']",[114.90755208333339]
65,"[139.99088541666646, '']",[138.16276041666677]
66,"[146.6080729166667, '']",[144.76953125000003]
67,"[114.77343749999984, '']",[113.22786458333347]
68,"[112.54817708333339, '']",[110.74479166666663]
69,"[140.16536458333348, '']",[138.62890625000023]
70,"[112.16927083333344, '']",[110.64062499999984]
71,"[101.71874999999991, '']",[99.89322916666649]
72,"[113.53125000000007, '']",[112.0924479166667]
73,"[116.57942708333343, '']",[114.71484375000007]
74,"[141.4388020833335, '']",[139.87630208333331]
75,"[75.25390625000003, '']",[74.15364583333346]
76,"[161.15364583333354, '']",[158.88020833333323]
77,"[162.18880208333326, '']",[160.84374999999991]
78,"[139.67317708333312, '']",[137.96484374999977]
79,"[122.16536458333354, '']",[119.95572916666683]
80,"[99.08072916666683, '']",[96.99479166666671]
81,"[131.21093750000006, '']",[129.32942708333334]
82,"[106.92317708333339, '']",[105.1341145833335]
83,"[99.75000000000018, '']",[98.1523437500002]
84,"[91.96354166666644, '']",[90.17708333333326]
85,"[97.0911458333334, '']",[95.58072916666667]
86,"[128.015625, '']",[126.40755208333344]
87,"[85.5416666666666, '']",[84.08593749999993]
88,"[112.54557291666657, '']",[110.6705729166666]
89,"[92.6276041666667, '']",[91.38411458333331]
90,"[90.47526041666649, '']",[88.87109375]
91,"[86.2994791666667, '']",[84.41015624999983]
92,"[109.49739583333321, '']",[108.22005208333353]
93,"[116.93359375000014, '']",[115.18489583333327]
94,"[153.209635416667, '']",[151.48177083333343]
95,"[112.34244791666656, '']",[110.06770833333317]
96,"[103.79817708333319, '']",[102.11067708333327]
97,"[79.66666666666654, '']",[78.0234375]
98,"[82.66406249999983, '']",[81.7786458333333]
99,"[94.42708333333326, '']",[93.49348958333333]
100,"[111.29296875000011, '']",[109.76692708333312]
101,"[136.78255208333337, '']",[135.20312499999972]
102,"[152.04427083333334, '']",[150.09895833333326]
103,"[149.9453125, '']",[148.2825520833333]
104,"[184.30859375000054, '']",[182.23567708333343]
105,"[151.21875000000014, '']",[149.45963541666669]
106,"[160.75651041666703, '']",[158.40494791666663]
107,"[165.67838541666666, '']",[163.81250000000009]
108,"[180.2447916666671, '']",[178.6406250000003]
109,"[147.4166666666667, '']",[146.16406250000003]
110,"[151.55078125, '']",[150.19921875]
111,"[172.12890625000006, '']",[170.33463541666654]
112,"[182.75390624999997, '']",[180.7734375000003]
113,"[178.3138020833331, '']",[177.0130208333333]
114,"[179.99999999999991, '']",[178.35937500000023]
115,"[171.40104166666654, '']",[169.88020833333314]
116,"[177.59244791666623, '']",[175.8385416666669]
117,"[206.19791666666603, '']",[204.29557291666634]
118,"[207.5078124999997, '']",[205.69531249999972]
119,"[207.7083333333336, '']",[205.12500000000017]
120,"[169.10156250000003, '']",[167.44140624999994]
121,"[126.67057291666673, '']",[124.31510416666649]
122,"[153.3281249999999, '']",[151.9218750000001]
