,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
,2.549479167,2.111979167,2.651041667,2.484375,2.713541667,2.299479167,2.299479167,2.299479167,2.299479167,2.299479167,2.299479167,2.052083333,2.333333333,1.791666667,2,2,2,2,2.125,2.05859375,2.07421875,1.9765625,2.07421875,2.15625,2.15625,2.15625,2.15625,2.15625,2.15625,2.15625,2.177083333,2.177083333,2.177083333,2.177083333,2.177083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333,2.427083333
,1.908854167,1.928385417,2.014322917,1.854166667,2.319010417,2.311197917,2.311197917,2.311197917,2.311197917,2.502604167,2.666666667,1.954427083,1.989583333,1.989583333,1.989583333,1.989583333,1.989583333,1.989583333,2.080729167,2.080729167,2.080729167,2.080729167,2.080729167,1.963541667,1.983072917,1.983072917,1.983072917,1.983072917,1.983072917,1.950520833,1.950520833,1.919270833,1.919270833,1.919270833,1.919270833,2.200520833,2.438802083,2.438802083,2.438802083,2.438802083,2.438802083,2.438802083,2.438802083,2.438802083,2.438802083,2.180989583,2.180989583,2.243489583,2.317708333,2.317708333
,2.733072917,2.690104167,2.596354167,2.533854167,2.701822917,2.627604167,2.627604167,2.627604167,2.627604167,2.572916667,2.740885417,2.087239583,2.087239583,2.087239583,2.087239583,2.009114583,2.095052083,2.095052083,2.153645833,2.153645833,2.153645833,2.153645833,2.153645833,2.098958333,2.098958333,2.098958333,2.098958333,2.098958333,2.098958333,1.979166667,1.979166667,1.983072917,1.983072917,2.076822917,2.076822917,2.315104167,2.397135417,2.397135417,2.397135417,2.397135417,2.397135417,2.397135417,2.397135417,2.397135417,2.397135417,2.451822917,2.451822917,2.369791667,2.651041667,2.545572917
,2.419270833,2.303385417,2.459635417,2.33984375,2.498697917,2.498697917,2.498697917,2.498697917,2.498697917,2.498697917,2.498697917,1.908854167,1.994791667,1.848958333,1.848958333,1.884114583,1.884114583,1.884114583,1.884114583,1.884114583,1.884114583,1.884114583,1.884114583,2.15625,2.2265625,2.091145833,2.091145833,2.091145833,2.091145833,2.114583333,2.114583333,1.984375,1.8828125,1.8828125,1.8828125,2.203125,2.28515625,2.106770833,2.106770833,2.106770833,2.106770833,2.106770833,2.106770833,2.106770833,2.106770833,2.106770833,2.106770833,2.203125,2.296875,2.296875
,1.9296875,1.94921875,1.94921875,2.147135417,2.143229167,2.143229167,2.143229167,2.143229167,2.143229167,2.143229167,2.143229167,1.975260417,2.046875,2.046875,2.046875,2.04296875,2.04296875,2.04296875,1.876302083,1.876302083,1.876302083,2.209635417,2.209635417,2.763020833,2.825520833,2.825520833,2.903645833,2.610677083,2.610677083,2.610677083,2.610677083,2.610677083,2.610677083,2.610677083,2.610677083,2.763020833,2.8671875,2.600260417,2.600260417,2.600260417,2.600260417,2.600260417,2.600260417,2.600260417,2.600260417,2.600260417,2.600260417,1.677083333,1.7578125,1.7578125
,2.3125,2.4609375,2.5703125,2.389322917,2.57421875,2.1640625,2.33203125,2.024739583,2.024739583,2.024739583,2.024739583,2.303385417,2.311197917,2.311197917,2.940104167,2.404947917,2.404947917,2.404947917,2.735677083,2.725260417,2.694010417,2.272135417,2.272135417,2.536458333,1.963541667,1.963541667,1.963541667,1.963541667,1.963541667,2.356770833,2.356770833,1.950520833,1.950520833,1.950520833,1.950520833,2.401041667,2.555989583,2.555989583,2.731770833,2.731770833,2.731770833,2.731770833,2.731770833,2.731770833,2.305989583,2.305989583,2.305989583,2.401041667,2.502604167,2.502604167
,2.765625,2.4609375,2.822916667,2.739583333,2.868489583,2.444010417,2.813802083,2.65234375,2.65234375,2.65234375,2.6640625,2.678385417,2.89453125,2.834635417,2.826822917,2.815104167,2.815104167,2.815104167,2.860677083,2.342447917,2.342447917,2.342447917,2.342447917,2.541666667,2.860677083,2.77734375,2.7890625,2.734375,2.734375,2.73046875,2.885416667,2.62890625,2.766927083,2.575520833,2.735677083,2.54296875,2.953125,2.953125,3.015625,2.96875,2.380208333,2.380208333,2.380208333,2.380208333,2.380208333,2.380208333,2.373697917,2.608072917,2.626302083,2.458333333
,2.46484375,2.46484375,2.25390625,2.30859375,2.30859375,2.30859375,2.30859375,2.30859375,2.1640625,2.1640625,2.1640625,2.32421875,2.36328125,2.143229167,2.272135417,1.9375,1.9375,1.9375,1.94140625,1.94140625,1.94140625,1.94140625,1.94140625,2.02734375,2.14453125,2.14453125,2.14453125,2.14453125,2.14453125,2.14453125,2.14453125,2.518229167,2.588541667,2.389322917,2.520833333,1.733072917,1.90234375,1.90234375,1.970052083,1.85546875,1.85546875,1.85546875,1.919270833,1.919270833,1.47265625,1.47265625,0.958333333,2.15234375,2.27734375,2.364583333
,2.51171875,2.279947917,2.390625,2.390625,2.328125,2.328125,2.328125,2.328125,2.328125,2.251302083,2.251302083,1.908854167,1.98828125,1.75,2.076822917,2.076822917,2.076822917,2.076822917,2.076822917,2.076822917,2.076822917,2.076822917,2.076822917,1.755208333,1.755208333,1.755208333,1.755208333,1.755208333,1.755208333,1.755208333,1.755208333,1.786458333,1.786458333,1.786458333,1.9453125,1.782552083,1.872395833,1.962239583,2.14453125,1.993489583,1.993489583,1.993489583,2.044270833,1.84375,1.946614583,1.846354167,2.134114583,1.716145833,1.915364583,1.993489583
,2.58203125,2.407552083,2.540364583,2.446614583,2.571614583,2.438802083,2.438802083,2.438802083,2.438802083,2.375,2.375,1.6953125,1.6953125,1.69140625,1.684895833,1.571614583,1.571614583,1.555989583,1.555989583,1.555989583,1.555989583,1.555989583,1.555989583,1.630208333,1.955729167,1.928385417,1.928385417,1.928385417,1.928385417,1.936197917,1.936197917,1.936197917,1.936197917,1.936197917,2.0390625,1.638020833,1.876302083,1.876302083,1.891927083,1.891927083,1.891927083,1.891927083,2.040364583,1.548177083,1.688802083,1.688802083,1.688802083,1.692708333,1.645833333,1.778645833
